song_index,file_name,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
0,Arms Around You (ft. Lil Pump).mp3,-69.95483398,93.46244812011719,17.969282150268555,13.414965629577637,8.718034744262695,7.375862121582031,3.015531539916992,7.759262561798096,-3.313734531,11.111391067504883,-1.961174488,5.539019584655762,0.040310803800821304,-0.973644316,-2.153771877,-1.355908155,-7.298932076,-2.469102383,-7.651441097,-3.699295282
1,Moonlight.mp3,-160.5726929,107.09632110595703,16.447216033935547,11.060697555541992,7.885654926300049,3.441734790802002,2.265227794647217,5.156440258026123,-11.44451332,9.641687393188477,-1.004243612,0.890967846,-1.307999611,0.3117883503437042,-2.025956154,2.2447028160095215,-4.740929604,-0.3581478,-4.7315588,-2.763512373
2,DHLC.mp3,-48.82258987,74.60797119140625,-17.93667603,28.693504333496094,-4.838623047,8.704147338867188,-4.561463833,3.3601808547973633,-5.102324963,7.077415466308594,-1.308441401,4.380375862121582,-1.935107946,1.401875376701355,-3.805263042,0.5469411611557007,-4.532918453,0.4109005331993103,-3.414991379,0.51201278
3,Hollow (feat. Emma Louise).mp3,-58.28622055,84.0407486,10.548442840576172,13.646246910095215,10.260513305664062,4.291655064,7.985566139221191,3.6943795680999756,3.830928325653076,5.074457168579102,-1.856646776,2.3978254795074463,-3.194802284,2.116276502609253,-4.622971058,0.6202852725982666,0.16495411098003387,2.267472505569458,0.851810873,5.293412685394287
4,Palaces (feat. Damon Albarn).mp3,-129.4012451,122.35167694091797,-14.47761154,18.156044006347656,-9.029239655,2.2283859252929688,-6.784965038,2.3827643394470215,1.416291356086731,3.4434916973114014,-1.730877638,1.8706917762756348,-3.68644762,-0.695662558,-5.670456886,-2.855021238,-5.980321407,-3.370175123,-0.062572502,1.5305660963058472
5,Aiobahn - If We Never.mp3,12.474021911621094,66.62297821044922,-3.315515757,15.708433151245117,2.934467315673828,6.2210798263549805,-2.671554804,4.1940178871154785,-0.866581261,4.100884914398193,-0.770953536,0.9195374846458435,-1.227992892,0.7982496619224548,-4.135926723,3.4246280193328857,-2.468354225,2.256246566772461,-1.614624858,3.110077381134033
6,Akano - Kamado Tanjirou no Uta (From -Demon Slayer Kimetsu no Yaiba-).mp3,-163.6555786,84.88184356689453,2.687072754,19.039949417114258,1.9348386526107788,2.5820980072021484,1.0638058185577393,-4.428648472,-2.58035326,0.6851155161857605,-7.262866497,2.9392647743225098,-8.277001381,-0.57518971,-4.893347263,-0.110464334,-0.131859109,-1.197833061,-2.596026421,-1.627859354
7,Aminé - Charmander (Rome in Silver Remix).mp3,-89.66853333,102.9930419921875,2.3413009643554688,10.327127456665039,-0.931623816,7.3797078132629395,-6.436067104,3.8374602794647217,0.40863701701164246,-2.943775892,-5.069068909,-1.713942766,-6.216936111,1.5170055627822876,1.6401509046554565,6.282883644104004,-0.308478624,4.031836986541748,-0.793741882,0.6811221241950989
8,Arctic Monkeys - I Wanna Be Yours_031228.mp3,-95.22330475,120.8040542602539,-23.40736198,14.94314193725586,-0.004172854,4.224570274353027,7.730981826782227,11.99879264831543,-2.998406649,6.223269939422607,0.5748738646507263,3.130526065826416,-2.341729879,-0.001498832,-1.672689676,4.179901599884033,-2.988978863,3.0020015239715576,-1.028118253,-4.914577007
9,Arctic Monkeys - One For The Road.mp3,-76.40493011,114.0255355834961,-17.1377449,18.508209228515625,4.3627119064331055,12.828810691833496,2.6680331230163574,8.464859962463379,-1.746920705,3.037611246109009,-1.669122934,4.350721359,-0.219349459,2.1987249851226807,2.2081503868103027,4.688959599,-0.088061132,2.4824047088623047,-4.982945442,0.43953579664230347
10,Belle - A Million Miles Away.mp3,-194.3242188,125.86177062988281,0.7045397162437439,16.38836669921875,1.841624140739441,-0.373276353,4.819675445556641,-8.501852036,-2.462498665,-0.02779595,-5.680773735,-1.724202037,-7.396545887,0.17148400843143463,-3.304081917,0.592848539,-3.704880238,-0.902000248,-4.129184723,4.095784664154053
11,Berywam - GIVE IT UP.mp3,-60.93994904,87.62711334228516,-0.404555351,16.331096649169922,9.965518951416016,1.5428346395492554,-2.883999348,7.964601039886475,-5.920536518,8.732311248779297,-4.349372864,0.954568088,0.16400133073329926,3.7726197242736816,-1.615944505,3.9629452228546143,-2.353460073,5.933320999145508,-0.700231731,3.055224895477295
12,Bicep - Opal.mp3,-174.6177063,85.92507934570312,18.14037514,30.082752227783203,7.424959182739258,17.657629013061523,6.773220539093018,8.272624015808105,6.472379207611084,7.551487445831299,-0.726988018,2.207239866256714,10.120351791381836,10.881518363952637,3.246067762374878,8.566171646118164,-1.339798093,-3.367217541,-1.164711475,4.403877258300781
13,Brian Tyler - The Invitation.mp3,-307.6728516,157.23377990722656,45.402503967285156,26.477128982543945,16.925737380981445,16.018375396728516,8.447409629821777,5.756464004516602,6.210415363311768,6.030210018157959,2.833505868911743,1.8846521377563477,-0.710861266,-0.001330876,-0.275185943,2.503264904022217,4.026374340057373,4.559568881988525,0.4659139811992645,-0.001171971
14,Camila Cabello - psychofreak (feat. WILLOW).mp3,-94.52386475,78.10712432861328,13.032245635986328,7.3655805587768555,-1.055759549,-5.132176876,-2.378957987,-9.56831646,-0.801154256,3.812925338745117,-0.389690071,1.0408515930175781,-3.159325361,2.722982883453369,-3.185626507,2.751645803451538,-0.411513537,1.9909698963165283,-4.252583981,1.152101993560791
15,Camille - Le Festin.mp3,-187.6149445,97.04216003417969,14.079025268554688,24.251033782958984,-0.429331511,9.442708015441895,8.77924633,-6.771100998,3.9701497554779053,4.268723487854004,-8.301644325,2.914025307,-2.667270422,3.5321853160858154,1.0832667350769043,4.051943778991699,-2.046323299,1.9741171598434448,-0.979205072,1.7610667943954468
16,Chris Lake - I Want You.mp3,-64.35577393,52.69104766845703,12.803508758544922,19.910369873046875,-0.883764267,10.820394515991211,2.227475405,5.863195419311523,4.305514335632324,7.0504984855651855,-5.253036976,0.9858863353729248,-1.265093088,5.236606597900391,-1.057359219,0.09974134,-8.967028618,1.5215815305709839,-2.922060728,2.3926680088043213
17,Coldplay - Yellow.mp3,-65.45967865,84.80200958251953,-6.357750416,34.27745819091797,10.992939949035645,2.4043233394622803,0.034507784992456436,9.259128571,-2.556949139,0.022632515,-1.574123502,2.2036850452423096,-1.747339845,-0.22959666,-0.548601031,1.2121944427490234,-8.422411919,-5.274699688,-6.024859905,-1.012521148
18,Cospe - Sippin.mp3,-117.6729279,83.44081879,21.232553482055664,20.688640594482422,9.379235268,10.950865745544434,0.9916365742683411,2.910548210144043,-6.714948177,-0.622083127,-2.592919827,1.7280877828598022,-2.18483448,-2.902984142,-6.9959445,-1.337599039,-3.494863749,3.0885238647460938,-1.542526484,0.42324912548065186
19,Cospe - System Error.mp3,-147.83992,99.78469086,-6.338413239,2.8482329845428467,-4.256334782,4.094989776611328,-4.245177746,2.1562509536743164,-6.619542599,-1.650269151,-2.277339458,1.3128383159637451,-0.324273318,0.27075594663619995,-1.960565448,0.075524561,-0.043817397,3.5981807708740234,4.471438884735107,2.7679901123046875
20,Dave Rodgers - Deja Vu.mp3,-47.88420486,57.651031494140625,6.352365970611572,17.75516700744629,-0.983347833,1.9191982746124268,3.2838127613067627,7.4916815757751465,-0.209610373,9.623345375061035,-1.171762347,7.360075950622559,-0.655263484,4.138429164886475,0.9741836190223694,3.7962262630462646,-1.559752345,4.9179511070251465,-0.050115347,4.657447814941406
21,Dave Rodgers - Gas Gas Gas.mp3,-38.01967239,65.28884887695312,1.5813157558441162,12.63204574584961,0.12698793411254883,5.223979949951172,-2.168469191,7.446500301361084,-2.123869181,6.148099899291992,-0.890885949,5.47371769,-0.39694488,3.229707956314087,-0.051652651,2.5195064544677734,-1.759875178,1.702502965927124,-1.18977654,4.043818950653076
