song_index,file_name,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
0,Aiobahn - If We Never.mp3,12.474021911621094,66.62297821044922,-3.3155157566070557,15.708433151245117,2.934467315673828,6.2210798263549805,-2.6715548038482666,4.1940178871154785,-0.8665812611579895,4.100884914398193,-0.7709535360336304,0.9195374846458435,-1.2279928922653198,0.7982496619224548,-4.135926723480225,3.4246280193328857,-2.4683542251586914,2.256246566772461,-1.6146248579025269,3.110077381134033
1,Akano - Kamado Tanjirou no Uta (From -Demon Slayer Kimetsu no Yaiba-).mp3,-163.65557861328125,84.88184356689453,2.68707275390625,19.039949417114258,1.9348386526107788,2.5820980072021484,1.0638058185577393,-4.428648471832275,-2.580353260040283,0.6851155161857605,-7.262866497039795,2.9392647743225098,-8.27700138092041,-0.5751897096633911,-4.893347263336182,-0.11046433448791504,-0.13185910880565643,-1.1978330612182617,-2.5960264205932617,-1.627859354019165
2,Aminé - Charmander (Rome in Silver Remix).mp3,-89.66853332519531,102.9930419921875,2.3413009643554688,10.327127456665039,-0.9316238164901733,7.3797078132629395,-6.4360671043396,3.8374602794647217,0.40863701701164246,-2.9437758922576904,-5.069068908691406,-1.7139427661895752,-6.216936111450195,1.5170055627822876,1.6401509046554565,6.282883644104004,-0.30847862362861633,4.031836986541748,-0.7937418818473816,0.6811221241950989
3,Arctic Monkeys - I Wanna Be Yours_031228.mp3,-95.22330474853516,120.8040542602539,-23.40736198425293,14.94314193725586,-0.004172854125499725,4.224570274353027,7.730981826782227,11.99879264831543,-2.9984066486358643,6.223269939422607,0.5748738646507263,3.130526065826416,-2.3417298793792725,-0.0014988317852839828,-1.67268967628479,4.179901599884033,-2.988978862762451,3.0020015239715576,-1.0281182527542114,-4.914577007293701
4,Arctic Monkeys - One For The Road.mp3,-76.4049301147461,114.0255355834961,-17.137744903564453,18.508209228515625,4.3627119064331055,12.828810691833496,2.6680331230163574,8.464859962463379,-1.7469207048416138,3.037611246109009,-1.6691229343414307,4.35072135925293,-0.2193494588136673,2.1987249851226807,2.2081503868103027,4.68895959854126,-0.0880611315369606,2.4824047088623047,-4.982945442199707,0.43953579664230347
5,Arms Around You (ft. Lil Pump).mp3,-69.954833984375,93.46244812011719,17.969282150268555,13.414965629577637,8.718034744262695,7.375862121582031,3.015531539916992,7.759262561798096,-3.313734531402588,11.111391067504883,-1.961174488067627,5.539019584655762,0.040310803800821304,-0.9736443161964417,-2.1537718772888184,-1.3559081554412842,-7.298932075500488,-2.469102382659912,-7.6514410972595215,-3.6992952823638916
6,Belle - A Million Miles Away.mp3,-194.32421875,125.86177062988281,0.7045397162437439,16.38836669921875,1.841624140739441,-0.37327635288238525,4.819675445556641,-8.501852035522461,-2.462498664855957,-0.027795949950814247,-5.680773735046387,-1.724202036857605,-7.396545886993408,0.17148400843143463,-3.304081916809082,0.592848539352417,-3.7048802375793457,-0.9020002484321594,-4.129184722900391,4.095784664154053
7,Berywam - GIVE IT UP.mp3,-60.93994903564453,87.62711334228516,-0.4045553505420685,16.331096649169922,9.965518951416016,1.5428346395492554,-2.8839993476867676,7.964601039886475,-5.920536518096924,8.732311248779297,-4.349372863769531,0.954568088054657,0.16400133073329926,3.7726197242736816,-1.615944504737854,3.9629452228546143,-2.3534600734710693,5.933320999145508,-0.7002317309379578,3.055224895477295
8,Bicep - Opal.mp3,-174.61770629882812,85.92507934570312,18.1403751373291,30.082752227783203,7.424959182739258,17.657629013061523,6.773220539093018,8.272624015808105,6.472379207611084,7.551487445831299,-0.7269880175590515,2.207239866256714,10.120351791381836,10.881518363952637,3.246067762374878,8.566171646118164,-1.339798092842102,-3.367217540740967,-1.1647114753723145,4.403877258300781
9,Brian Tyler - The Invitation.mp3,-307.6728515625,157.23377990722656,45.402503967285156,26.477128982543945,16.925737380981445,16.018375396728516,8.447409629821777,5.756464004516602,6.210415363311768,6.030210018157959,2.833505868911743,1.8846521377563477,-0.7108612656593323,-0.0013308755587786436,-0.2751859426498413,2.503264904022217,4.026374340057373,4.559568881988525,0.4659139811992645,-0.001171971089206636
